Price,Adj Close,Close,High,Low,Open,Volume
Ticker,2330.TW,2330.TW,2330.TW,2330.TW,2330.TW,2330.TW
Date,,,,,,
2023-01-03,437.941650390625,453.0,453.5,443.0,446.0,14885824
2023-01-04,434.55792236328125,449.5,455.0,448.5,449.5,19188422
2023-01-05,443.2587890625,458.5,459.5,455.0,459.0,23549581
2023-01-06,443.2587890625,458.5,459.5,455.0,455.0,20886011
2023-01-09,465.0108337402344,481.0,481.0,467.5,468.0,46666263
2023-01-10,469.8446350097656,486.0,487.0,483.0,486.0,32646014
2023-01-11,468.3945007324219,484.5,488.0,482.0,487.0,21051115
2023-01-12,470.3280029296875,486.5,488.0,484.0,487.5,20963689
2023-01-13,483.37921142578125,500.0,509.0,499.0,507.0,77606949
2023-01-16,488.2130432128906,505.0,508.0,503.0,506.0,34373918
2023-01-17,486.27947998046875,503.0,504.0,499.5,504.0,27770329
2023-01-30,524.9498291015625,543.0,543.0,534.0,542.0,124428936
2023-01-31,504.64794921875,522.0,538.0,521.0,537.0,72530854
2023-02-01,512.3820190429688,530.0,533.0,522.0,532.0,33710990
2023-02-02,522.049560546875,540.0,542.0,537.0,538.0,43077053
2023-02-03,523.983154296875,542.0,542.0,536.0,540.0,31635865
2023-02-06,508.5150146484375,526.0,533.0,526.0,532.0,30870136
2023-02-07,505.6146545410156,523.0,528.0,522.0,524.0,23481767
2023-02-08,522.049560546875,540.0,540.0,534.0,538.0,35096191
2023-02-09,522.049560546875,540.0,540.0,536.0,540.0,18861972
2023-02-10,526.8833618164062,545.0,546.0,541.0,544.0,28495684
2023-02-13,523.016357421875,541.0,544.0,538.0,544.0,22768977
2023-02-14,526.8833618164062,545.0,546.0,543.0,544.0,21883297
2023-02-15,507.5482177734375,525.0,532.0,522.0,526.0,61796793
2023-02-16,510.44842529296875,528.0,531.0,524.0,528.0,29975138
2023-02-17,500.7808837890625,518.0,524.0,516.0,524.0,28121975
2023-02-20,499.8141174316406,517.0,519.0,511.0,514.0,20065156
2023-02-21,498.8473205566406,516.0,517.0,513.0,515.0,13504100
2023-02-22,490.14654541015625,507.0,509.0,505.0,506.0,24575245
2023-02-23,500.7808837890625,518.0,521.0,510.0,512.0,25376835
2023-02-24,494.0135498046875,511.0,525.0,511.0,524.0,41692491
2023-03-01,504.64794921875,522.0,522.0,504.0,504.0,39560848
2023-03-02,501.7477111816406,519.0,520.0,515.0,519.0,16558784
2023-03-03,498.8473205566406,516.0,525.0,516.0,524.0,23253895
2023-03-06,503.6811828613281,521.0,524.0,517.0,520.0,21922085
2023-03-07,506.5814208984375,524.0,526.0,519.0,521.0,24861078
2023-03-08,503.6811828613281,521.0,523.0,518.0,521.0,24512408
2023-03-09,504.64794921875,522.0,526.0,522.0,525.0,21557577
2023-03-10,495.9471130371094,513.0,516.0,511.0,515.0,24045605
2023-03-13,498.8473205566406,516.0,518.0,509.0,513.0,21466947
2023-03-14,493.0468444824219,510.0,514.0,510.0,511.0,20474770
2023-03-15,494.0135498046875,511.0,516.0,510.0,515.0,23208597
2023-03-16,490.85443115234375,505.0,510.0,504.0,505.0,21965994
2023-03-17,503.4903259277344,518.0,518.0,513.0,516.0,33118483
2023-03-20,497.6583251953125,512.0,518.0,510.0,517.0,11837312
2023-03-21,502.5183410644531,517.0,517.0,512.0,515.0,18284799
2023-03-22,518.070068359375,533.0,533.0,524.0,524.0,42385987
2023-03-23,522.9300537109375,538.0,539.0,528.0,528.0,26728246
2023-03-24,523.902099609375,539.0,539.0,535.0,536.0,21926240
2023-03-27,516.1261596679688,531.0,536.0,531.0,533.0,16111177
2023-03-28,510.29425048828125,525.0,530.0,524.0,525.0,17234120
2023-03-29,515.1541748046875,530.0,533.0,525.0,533.0,17280749
2023-03-30,520.0140380859375,535.0,537.0,531.0,536.0,19201564
2023-03-31,518.070068359375,533.0,538.0,532.0,538.0,23558838
2023-04-06,515.1541748046875,530.0,531.0,526.0,530.0,25423363
2023-04-07,516.1261596679688,531.0,535.0,529.0,535.0,8557482
2023-04-10,514.18212890625,529.0,533.0,528.0,533.0,7435151
2023-04-11,509.32220458984375,524.0,527.0,522.0,522.0,22675697
2023-04-12,505.43426513671875,520.0,524.0,517.0,523.0,23816473
2023-04-13,495.7143859863281,510.0,517.0,510.0,515.0,25536889
2023-04-14,501.54632568359375,516.0,520.0,513.0,516.0,18072504
2023-04-17,505.43426513671875,520.0,520.0,514.0,519.0,14634287
2023-04-18,500.5742492675781,515.0,520.0,514.0,518.0,15168888
2023-04-19,495.7143859863281,510.0,518.0,509.0,517.0,21123233
2023-04-20,498.6303405761719,513.0,516.0,510.0,512.0,17221961
2023-04-21,496.6863708496094,511.0,520.0,510.0,520.0,25016683
2023-04-24,492.7984313964844,507.0,510.0,504.0,505.0,16886512
2023-04-25,484.0505065917969,498.0,505.0,498.0,504.0,36898412
2023-04-26,477.7325744628906,491.5,498.5,491.0,498.0,31269245
2023-04-27,479.67657470703125,493.5,495.0,489.0,491.0,29537148
2023-04-28,487.9384460449219,502.0,502.0,498.0,498.5,24824100
2023-05-02,486.9664611816406,501.0,502.0,496.5,500.0,15325791
2023-05-03,482.1065368652344,496.0,498.0,495.0,496.0,11369311
2023-05-04,484.0505065917969,498.0,499.5,496.0,497.0,13140291
2023-05-05,485.9944763183594,500.0,502.0,498.5,500.0,7488897
2023-05-08,489.8824462890625,504.0,509.0,502.0,509.0,11243634
2023-05-09,495.7143859863281,510.0,510.0,505.0,507.0,16197743
2023-05-10,488.9104309082031,503.0,508.0,500.0,508.0,18859212
2023-05-11,485.0224914550781,499.0,506.0,498.5,506.0,13382927
2023-05-12,482.1065368652344,496.0,500.0,495.0,496.0,18465362
2023-05-15,481.6205139160156,495.5,499.5,494.5,497.0,13315766
2023-05-16,490.85443115234375,505.0,508.0,500.0,503.0,21140315
2023-05-17,504.4622802734375,519.0,521.0,506.0,508.0,41406763
2023-05-18,515.1541748046875,530.0,536.0,526.0,533.0,43096277
2023-05-19,517.09814453125,532.0,535.0,529.0,535.0,32099068
2023-05-22,516.1261596679688,531.0,533.0,529.0,532.0,17208135
2023-05-23,515.1541748046875,530.0,531.0,525.0,530.0,19588873
2023-05-24,510.29425048828125,525.0,528.0,524.0,527.0,19086681
2023-05-25,527.7900390625,543.0,545.0,537.0,542.0,63827245
2023-05-26,550.1456909179688,566.0,568.0,563.0,568.0,95808471
2023-05-29,552.0897216796875,568.0,574.0,564.0,574.0,54657853
2023-05-30,550.1456909179688,566.0,568.0,563.0,566.0,40136130
2023-05-31,542.369873046875,558.0,562.0,551.0,560.0,81176782
2023-06-01,535.5659790039062,551.0,554.0,550.0,550.0,24477529
2023-06-02,546.2578125,562.0,564.0,557.0,559.0,30206141
